name;year;Effectiveness;Load;Quality;NSabonents
I. Поликлиника №1;;;;;
;10.02.2015;35;3;0;0
;11.02.2015;100;100;0;0
;12.02.2015;15;15;0;0
;10.02.2015;35;3;0;0
;11.02.2015;100;100;0;0
;12.02.2015;15;15;0;0
1. Эффективность;;;;;
;10.02.2015;35;3;0;0
;11.02.2015;100;100;0;0
;12.02.2015;15;15;0;0
;10.02.2015;35;3;0;0
;11.02.2015;100;100;0;0
;12.02.2015;15;15;0;0
SLA;;;;;
;10.02.2015;63;63;0;0
;11.02.2015;48;48;0;0
;12.02.2015;70;70;0;0
;13.02.2015;20;20;0;0
;14.02.2015;21;21;0;0
;15.02.2015;66;66;0;0
;16.02.2015;18;18;0;0
;17.02.2015;12;12;0;0
;18.02.2015;83;83;0;0
;19.02.2015;72;72;0;0
ASC;;;;;
;10.02.2015;2;2;0;0
;11.02.2015;6;6;0;0
;12.02.2015;14;14;0;0
;13.02.2015;11;11;0;0
;14.02.2015;12;12;0;0
;15.02.2015;14;14;0;0
;16.02.2015;12;12;0;0
;17.02.2015;1;1;0;0
;18.02.2015;12;12;0;0
;19.02.2015;1;1;0;0
LC;;;;;
;10.02.2015;52;52;0;0
;11.02.2015;67;67;0;0
;12.02.2015;77;77;0;0
;13.02.2015;21;21;0;0
;14.02.2015;86;86;0;0
;15.02.2015;48;48;0;0
;16.02.2015;83;83;0;0
;17.02.2015;17;17;0;0
;18.02.2015;20;20;0;0
;19.02.2015;7;7;0;0
2. Нагрузка    ;;;;;
;10.02.2015;52;52;0;0
II. Поликлиника №4;;;;;
;10.02.2015;35;35;0;0
;11.02.2015;100;100;0;0
;12.02.2015;15;15;0;0
;10.02.2015;35;35;0;0
;11.02.2015;100;100;0;0
;12.02.2015;15;15;0;0
1. Эффективность;;;;;
;10.02.2015;35;35;0;0
;11.02.2015;100;100;0;0
;12.02.2015;15;15;0;0
;10.02.2015;35;35;0;0
;11.02.2015;100;100;0;0
;12.02.2015;15;15;0;0
SLA DAY1 ;;;;;
;10.02.2015;63;63;0;0
;11.02.2015;48;48;0;0
;12.02.2015;70;70;0;0
;13.02.2015;20;20;0;0
;14.02.2015;21;21;0;0
;15.02.2015;66;66;0;0
;16.02.2015;18;18;0;0
;17.02.2015;12;12;0;0
;18.02.2015;83;83;0;0
;19.02.2015;72;72;0;0
ASC DAY1;;;;;
;10.02.2015;2;2;0;0
;11.02.2015;6;6;0;0
;12.02.2015;14;14;0;0
;13.02.2015;11;11;0;0
;14.02.2015;12;12;0;0
;15.02.2015;14;14;0;0
;16.02.2015;12;12;0;0
;17.02.2015;1;1;0;0
;18.02.2015;12;12;0;0
;19.02.2015;1;1;0;0
LC DAY1;;;;;
;10.02.2015;52;52;0;0
;11.02.2015;67;67;0;0
;12.02.2015;77;77;0;0
;13.02.2015;21;21;0;0
;14.02.2015;86;86;0;0
;15.02.2015;48;48;0;0
;16.02.2015;83;83;0;0
;17.02.2015;17;17;0;0
;18.02.2015;20;20;0;0
;19.02.2015;7;7;0;0
2. Эффективность 11/02/15 ;;;;;
;10.02.2015;35;35;0;0
;11.02.2015;100;100;0;0
;12.02.2015;15;15;0;0
;10.02.2015;35;35;0;0
;11.02.2015;100;100;0;0
;12.02.2015;15;15;0;0
SLA DAY2;;;;;
;20.02.2015;37;37;0;0
;21.02.2015;17;17;0;0
;22.02.2015;72;72;0;0
;23.02.2015;53;53;0;0
;24.02.2015;26;26;0;0
;25.02.2015;95;95;0;0
;26.02.2015;59;59;0;0
;27.02.2015;42;42;0;0
;28.02.2015;29;29;0;0
ASC DAY2;;;;;
;20.02.2015;3;3;0;0
;21.02.2015;9;9;0;0
;22.02.2015;13;13;0;0
;23.02.2015;11;11;0;0
;24.02.2015;10;10;0;0
;25.02.2015;14;14;0;0
;26.02.2015;6;6;0;0
;27.02.2015;7;7;0;0
;28.02.2015;6;6;0;0
;29.02.2015;6;6;0;0
LC DAY2;;;;;
;20.02.2015;69;69;0;0
;21.02.2015;79;79;0;0
;22.02.2015;100;100;0;0
;23.02.2015;54;54;0;0
;24.02.2015;56;56;0;0
;25.02.2015;89;89;0;0
;26.02.2015;25;25;0;0
;27.02.2015;49;49;0;0
;28.02.2015;17;17;0;0
;29.02.2015;83;83;0;0
3. Эффективность 12/02/15 ;;;;;
;10.02.2015;35;35;0;0
;11.02.2015;100;100;0;0
;12.02.2015;15;15;0;0
;10.02.2015;35;35;0;0
;11.02.2015;100;100;0;0
;12.02.2015;15;15;0;0
SLA DAY3;;;;;
;29.02.2015;54;54;0;0
;30.02.2015;66;66;0;0
;31.02.2015;24;24;0;0
;32.02.2015;45;45;0;0
;33.02.2015;55;55;0;0
;34.02.2015;65;65;0;0
;35.02.2015;33;33;0;0
;36.02.2015;20;20;0;0
;37.02.2015;6;6;0;0
;38.02.2015;78;78;0;0
;39.02.2015;54;54;0;0
ASC DAY3;;;;;
;30.02.2015;4;4;0;0
;31.02.2015;3;3;0;0
;32.02.2015;13;13;0;0
;33.02.2015;9;9;0;0
;34.02.2015;11;11;0;0
;35.02.2015;6;6;0;0
;36.02.2015;3;3;0;0
;37.02.2015;13;13;0;0
;38.02.2015;11;11;0;0
;39.02.2015;15;15;0;0
LC DAY3;;;;;
;30.02.2015;39;39;0;0
;31.02.2015;1;1;0;0
;32.02.2015;72;72;0;0
;33.02.2015;45;45;0;0
;34.02.2015;41;41;0;0
;35.02.2015;69;69;0;0
;36.02.2015;95;95;0;0
;37.02.2015;9;9;0;0
;38.02.2015;77;77;0;0
;39.02.2015;62;62;0;0
